,Unnamed: 0,Ingredients,Steps,Details,URL
0,0,3 cups (600 g) sweet potatoes & cut into ½ inch cubes,Step 1 - Roast Your Potatoes and Prep Your Ingredients,"Preheat oven to 425 degrees F. In a sheet pan lined with foil, season the potato dices with salt, pepper, and olive oil. Cook the potato dices for 15 minutes undisturbed. Use a fork or cake tester to test their doneness. If the fork goes in without any resistance, pull the potatoes and keep them aside. Be careful not to burn yourself or the surface where you hold them (use hot pads if leaving on the counter).",https://www.trifectanutrition.com/blog/turkey-sausage-sweet-potato-breakfast-casserole-recipe
1,1,"1 lb. lean turkey sausage, sliced or crumbled",Step 2 - Brown the Sausage,Heat a skillet to medium-high and cook the turkey sausage until browned. Remove from skillet with a slotted spoon. Leave 1 tablespoon of rendered fat. Cool and discard the rest.,https://www.trifectanutrition.com/blog/turkey-sausage-sweet-potato-breakfast-casserole-recipe
2,2,6 whole eggs,Step 3 - Saute Your Veggies,"Cook the onion and red pepper in the sausage fat until translucent. Add the garlic and cook a few more minutes. Prepare a large baking dish (9x13 inches), by spraying liberally with spray oil. Otherwise, use a cast-iron skillet, together with sausage and potato dices. Spread evenly.",https://www.trifectanutrition.com/blog/turkey-sausage-sweet-potato-breakfast-casserole-recipe
3,3,"1 cup bell pepper, diced",Step 4 - Add the Eggs,"Reduce oven heat to 375F. In a bowl, whisk together the eggs, milk, salt, black pepper, and chipotle if desired, and pour the mix into the baking dish. Stir to combine everything.",https://www.trifectanutrition.com/blog/turkey-sausage-sweet-potato-breakfast-casserole-recipe
4,4,"1 onion, diced",,Cover with foil and bake for 15 minutes. Uncover and continue baking for 10-15 more minutes. Set a timer.,https://www.trifectanutrition.com/blog/turkey-sausage-sweet-potato-breakfast-casserole-recipe
5,5,"3 garlic cloves, minced",,Let the breakfast casserole rest for a few minutes. Top with sliced green onion and serve hot.,https://www.trifectanutrition.com/blog/turkey-sausage-sweet-potato-breakfast-casserole-recipe
6,6,"⅓ cup milk ( if plant-based, use unsweetened plain)",,,https://www.trifectanutrition.com/blog/turkey-sausage-sweet-potato-breakfast-casserole-recipe
7,7,¼ teaspoon black pepper,,,https://www.trifectanutrition.com/blog/turkey-sausage-sweet-potato-breakfast-casserole-recipe
8,8,1 teaspoon kosher salt,,,https://www.trifectanutrition.com/blog/turkey-sausage-sweet-potato-breakfast-casserole-recipe
9,9,1 teaspoon chipotle powder and 1 teaspoon chili flakes (if you like spice),,,https://www.trifectanutrition.com/blog/turkey-sausage-sweet-potato-breakfast-casserole-recipe
10,10,1 tablespoon olive oil,,,https://www.trifectanutrition.com/blog/turkey-sausage-sweet-potato-breakfast-casserole-recipe
